id;email;mobile_number;deleted
1;Sylvan.Bayer85@yahoo.com;applications;true
2;Kip_Rippin40@yahoo.com;synthesizing;true
3;Edna_Howell@yahoo.com;payment;true
4;Alisha.Romaguera@yahoo.com;Assistant Personal Bedfordshire;true
5;Rachel.Sauer@yahoo.com;vertical Baby Ergonomic;false
6;Austen.Halvorson90@gmail.com;Electronics open-source;false
7;Erica70@gmail.com;SQL;true
8;Nola70@gmail.com;Handcrafted Customer;true
9;Helmer_Langworth@gmail.com;Pants Jewelery;false
10;Cole.Ziemann30@yahoo.com;calculating Fantastic;false
