id;first_name;middle_name;last_name;student_reg_number;date_of_birth;staff_sys_no;reg_doc_type;registration_document_number;gender;nationality;date_joined;deleted;wxt_jwt_pq_55_wd
1;Lola;payment back-end Account;Goyette;innovative system;2021-05-04T10:09:12;Bedfordshire;PASSPORT;withdrawal;MALE;silver Small Indiana;2021-05-04T23:29:34;false;monitor Account Garden
2;Jenifer;reinvent orchestrate;Turner;connecting National;2021-05-05T01:33:11;Singapore;HUDUMA;Berkshire;MALE;Music open-source;2021-05-04T21:16:21;true;Jersey time-frame
3;Nona;Concrete Account;Cronin;ROI Identity Island;2021-05-04T14:42:33;Group;NATIONAL_ID;Sleek;FEMALE;Illinois Chicken North;2021-05-04T06:37:49;true;Bike Table auxiliary
4;Cindy;white;Runolfsson;Bedfordshire;2021-05-04T07:15:03;Kids Small;NATIONAL_ID;Pants;FEMALE;Chair Rustic;2021-05-04T03:14:29;true;upward-trending
5;Westley;sensor;Bayer;Awesome monetize;2021-05-04T12:52:41;Proactive communities;BIRTH_CERTIFICATE;Integrated payment;OTHER;Assimilated;2021-05-05T01:27:56;true;Division
6;Sherman;BEAC;Waters;Kroon Internal Unbranded;2021-05-05T01:03:26;invoice Philippine;BIRTH_CERTIFICATE;Books;OTHER;Granite;2021-05-04T22:09:17;false;bypassing infomediaries implementation
7;Alfonzo;Legacy;Rath;Administrator Sports Gorgeous;2021-05-04T23:24:44;Market Expanded;BIRTH_CERTIFICATE;Strategist back-end Global;MALE;Computer approach;2021-05-04T19:39:34;false;transform Pennsylvania
8;Helena;JBOD invoice Hawaii;Aufderhar;value-added;2021-05-04T21:48:24;transmit;BIRTH_CERTIFICATE;HTTP needs-based;OTHER;open-source;2021-05-04T10:27:13;false;Frozen
9;Carson;Inverse Germany;Dickinson;metrics;2021-05-04T18:35:40;Program;HUDUMA;Montana copy Manat;FEMALE;fuchsia;2021-05-04T21:58:27;false;incentivize purple Principal
10;Faustino;Syrian Mobility;Buckridge;interface;2021-05-04T19:54:24;vertical Car Steel;NATIONAL_ID;dynamic Kansas;OTHER;Borders;2021-05-04T10:00:24;false;Bypass Architect Wooden
