id;first_name;middle_name;last_name;student_reg_number;date_of_birth;reg_doc_type;registration_document_number;gender;nationality;date_joined;deleted;wxt_jwt_pq_55_wd
1;Ricardo;concept radical;Streich;whiteboard;2021-05-04T05:02:01;NATIONAL_ID;plug-and-play;MALE;Crossing;2021-05-04T13:18:08;false;Monitored Tasty Forward
2;Odessa;Refined Avon;Rippin;Virtual Incredible;2021-05-04T11:47:18;NATIONAL_ID;Intranet virtual;OTHER;multi-byte eco-centric;2021-05-04T17:13:50;true;Movies
3;Shana;leading parsing bypassing;Stanton;Iran;2021-05-04T11:34:17;HUDUMA;Accounts Electronics virtual;OTHER;payment Practical synthesizing;2021-05-04T19:05:56;false;quantifying
4;Darian;system Developer Chief;Conn;Concrete Station;2021-05-04T16:19:23;HUDUMA;generating collaborative;MALE;Bedfordshire Rustic Specialist;2021-05-04T16:04:02;false;Central synthesize Summit
5;Madonna;Account;Barrows;Regional;2021-05-04T11:41:59;NATIONAL_ID;object-oriented PNG;FEMALE;Health cutting-edge Platinum;2021-05-04T04:38:22;false;Functionality infomediaries
6;Cornell;white;Sanford;Shirt Awesome Soft;2021-05-04T12:57:00;NATIONAL_ID;uniform Grocery;MALE;calculating;2021-05-05T00:34:02;true;Kids
7;Quinten;transmitter Direct;Trantow;Chief;2021-05-04T18:52:02;PASSPORT;microchip Ruble;MALE;generating;2021-05-04T16:19:10;false;Global Baby
8;Ahmad;National deposit;Fritsch;Manager Rubber;2021-05-04T11:01:03;BIRTH_CERTIFICATE;Handcrafted;OTHER;Forward Georgia;2021-05-04T23:06:12;false;Pound orange
9;Zetta;back-end;Kunde;out-of-the-box port Washington;2021-05-04T23:10:39;HUDUMA;Account benchmark;OTHER;Baby Factors;2021-05-04T20:10:23;true;Granite
10;Alfonso;Handcrafted markets program;Abernathy;ROI Steel deposit;2021-05-04T20:59:00;PASSPORT;California XML;FEMALE;Analyst;2021-05-04T06:19:56;false;Pants
